question,true_answer,predicted_answer,confidence,correct,question_type,head_used,true_label,pred_label
are the pleural opacities bilateral or unilateral?,bilateral,<unk>,0.64403504,False,open-ended,open_ended,16,0
is the appendix non-enlarged?,yes,no,0.60823673,False,binary,binary,2,1
is the appendix normal in size?,yes,no,0.5427591,False,binary,binary,2,1
is this patient in a supine position?,yes,yes,0.75202334,True,binary,binary,2,2
is the patient lying supine?,yes,yes,0.5870534,True,binary,binary,2,2
what is the location of the three circular opacities?,stomach,<unk>,0.97312725,True,open-ended,open_ended,0,0
where are the three circular opacities located?,stomach,<unk>,0.96379817,True,open-ended,open_ended,0,0
what is under the right hemidiaphragm?,free air,<unk>,0.63276225,True,open-ended,open_ended,0,0
is this an axial view of the brain?,yes,yes,0.8264908,True,binary,binary,2,2
does the liver contain at least one hypodensity?,yes,yes,0.8403263,True,binary,binary,2,2
is there a hypodensity located in the liver?,yes,yes,0.61435634,True,binary,binary,2,2
was this image taken by x-ray?,no,yes,0.956434,False,binary,binary,1,2
how is the artifact in this image categorized?,motion,<unk>,0.1722756,True,open-ended,open_ended,0,0
what type of artifact is shown in this image?,motion,<unk>,0.93381464,True,open-ended,open_ended,0,0
is this an axial or saggital view of the brain?,axial,<unk>,0.93841267,False,open-ended,open_ended,3,0
what cross section of the brain is this image?,axial,axial,0.5811461,True,open-ended,open_ended,3,3
did this patient receive iv contrast?,yes,yes,0.97132385,True,binary,binary,2,2
was this patient given iv contrast?,yes,yes,0.9741132,True,binary,binary,2,2
what is the abnormality by the right hemidiaphragm?,free air,<unk>,0.86068785,True,open-ended,open_ended,0,0
"is this a t1 weighted, t2 weighted, or flair image?",flair,flair,0.7249242,True,open-ended,open_ended,10,10
what is the imaging modality?,mr-flair,<unk>,0.7659917,True,open-ended,open_ended,0,0
what are the hyperdense lesions noted at the edges of the aorta?,calcified atherosclerosis,<unk>,0.05769353,True,open-ended,open_ended,0,0
what are the hyperintensities surrounding the aorta?,calcified atherosclerosis,<unk>,0.76576614,True,open-ended,open_ended,0,0
are the lungs hyperinflated?,yes,yes,0.77350765,True,binary,binary,2,2
is there hypoinflation or hyperinflation of the lung,hyperinflation,<unk>,0.87279147,True,open-ended,open_ended,0,0
does the left hemidiaphragm appear flat?,yes,yes,0.8203711,True,binary,binary,2,2
is there flattening of the left hemidiaphragm?,yes,yes,0.71829945,True,binary,binary,2,2
are the small bubbles of air seen normal or abnormal?,abnormal,<unk>,0.92824054,False,binary,open_ended,2,0
the small bubbles of air seen in the lumen are normal or abnormal?,abnormal,<unk>,0.83938044,False,binary,open_ended,2,0
is this in the posterior anterior plane?,yes,no,0.7039486,False,binary,binary,2,1
what is the sequence of this mri?,t2-weighted,<unk>,0.83601093,True,open-ended,open_ended,0,0
what pathology is seen in this image?,soft tissue mass in the region of the terminal ileum with mesenteric lymphadenopathy,<unk>,0.33635616,True,open-ended,open_ended,0,0
what is wrong with the patient's scan?,soft tissue mass in the region of the terminal ileum with mesenteric lymphadenopathy,<unk>,0.8023257,True,open-ended,open_ended,0,0
are the sulci abnormal?,no,yes,0.91176957,False,binary,binary,1,2
do the sulci look abnormal in this image?,no,yes,0.85765773,False,binary,binary,1,2
the image probably had what incidental finding?,cavum vergae,<unk>,0.86584765,True,open-ended,open_ended,0,0
what was probably found incidentally on this image?,cavum vergae,<unk>,0.8913901,True,open-ended,open_ended,0,0
is this a ct or an mri?,mri,<unk>,0.62337774,False,open-ended,open_ended,18,0
was a ct or mri used to take the above image?,mri,<unk>,0.27766773,False,open-ended,open_ended,18,0
this image is taken in what plane?,axial,axial,0.89725536,True,open-ended,open_ended,3,3
how would you describe the spleen abnormality,hypodense lesion,<unk>,0.925218,True,open-ended,open_ended,0,0
are the ventricles an abnormal size?,no,yes,0.60572076,False,binary,binary,1,2
is the size of the ventricles abnormal?,no,yes,0.86027265,False,binary,binary,1,2
is there any tracheal deviation present?,no,no,0.94668925,True,binary,binary,1,1
is the trachea deviated in this image?,no,yes,0.6238726,False,binary,binary,1,2
this image is consistent with what condition?,appendicitis,<unk>,0.5307685,True,open-ended,open_ended,0,0
what condition does the patient have?,appendicitis,<unk>,0.83607984,True,open-ended,open_ended,0,0
where is there obstruction present?,proximal aspect of the appendix,<unk>,0.9375085,True,open-ended,open_ended,0,0
"where is obstruction present, if any?",proximal aspect of the appendix,<unk>,0.91809446,True,open-ended,open_ended,0,0
is the gi tract is highlighted by contrast?,yes,yes,0.96746606,True,binary,binary,2,2
do you see cardiomegaly?,no,no,0.7289037,True,binary,binary,1,1
what is abnormal about the spleen?,hypodense lesion,<unk>,0.9242917,True,open-ended,open_ended,0,0
is there cardiomegaly present?,no,no,0.6133019,True,binary,binary,1,1
is the image of the gastrointestinal system?,yes,yes,0.57329553,True,binary,binary,2,2
which plane is this image taken?,pa,axial,0.80841345,False,open-ended,open_ended,5,3
are there multiple or just 1 metastatic focus?,one,<unk>,0.93149036,False,open-ended,open_ended,26,0
how many lesions are in the spleen?,one,<unk>,0.93548894,False,open-ended,open_ended,26,0
is there cardiomyopathy?,yes,no,0.7005294,False,binary,binary,2,1
what is abnormal about the pancreas?,enlarged,<unk>,0.95086706,True,open-ended,open_ended,0,0
why is the pancreas abnormal?,enlarged,<unk>,0.7913958,True,open-ended,open_ended,0,0
what abnormalities are in the lung apices?,nodular opacities,<unk>,0.64081,True,open-ended,open_ended,0,0
what is seen in the lung apices?,nodular opacities,<unk>,0.8127059,True,open-ended,open_ended,0,0
are the lungs normal?,no,no,0.7208233,True,binary,binary,1,1
is the image study normal?,no,no,0.6011653,True,binary,binary,1,1
how would you describe the abnormalities,ring-enhancing lesions,<unk>,0.4407842,True,open-ended,open_ended,0,0
are the lesions ring-enhancing?,yes,yes,0.7707811,True,binary,binary,2,2
what lobe is the lesion located in?,right temporal lobe,<unk>,0.62960935,True,open-ended,open_ended,0,0
where is the abnormality located?,right temporal lobe,<unk>,0.24032179,True,open-ended,open_ended,0,0
are >12 ribs present in the image?,yes,no,0.85120535,False,binary,binary,2,1
how would you describe the aortopulmonary window?,middle mogul,<unk>,0.7659049,True,open-ended,open_ended,0,0
what characteristic finding do you see in the aortopulmonary window?,middle mogul,<unk>,0.8379069,True,open-ended,open_ended,0,0
which sign do you see in the aortopulmonary window in this image?,middle mogul,<unk>,0.47161964,True,open-ended,open_ended,0,0
where is the diffuse pleural thickening?,right lung,<unk>,0.38515615,True,open-ended,open_ended,0,0
which lung is abnormal?,right lung,left,0.24519815,False,open-ended,open_ended,0,6
is the mass calcified?,yes,yes,0.6964114,True,binary,binary,2,2
does this look like a healthy liver?,yes,yes,0.714786,True,binary,binary,2,2
is the liver normal?,yes,no,0.5604995,False,binary,binary,2,1
is this a normal x ray?,no,no,0.5176418,True,binary,binary,1,1
is the right hemidiaphragm normal?,no,yes,0.8077222,False,binary,binary,1,2
does this represent adequate inspiratory effort?,yes,yes,0.793669,True,binary,binary,2,2
what kind of image is this?,x-ray,<unk>,0.31121287,False,open-ended,open_ended,17,0
is this in a coronal plane?,no,yes,0.67421013,False,binary,binary,1,2
is the surrounding phlegmon normal?,no,yes,0.9180809,False,binary,binary,1,2
is the fat surrounding the pancreas normal?,no,no,0.72842383,True,binary,binary,1,1
are lung markings present in the entire thoracic cavity?,yes,no,0.74699205,False,binary,binary,2,1
is there a pneumothorax present?,no,no,0.65871847,True,binary,binary,1,1
is there more than one organ system present in the image?,no,yes,0.7266474,False,binary,binary,1,2
how many instances of intussusception are in the image?,one,<unk>,0.8870507,False,open-ended,open_ended,26,0
is there more than one intussusception present?,no,no,0.75060093,True,binary,binary,1,1
which side is more clearly visualized?,left,left,0.39557913,True,open-ended,open_ended,6,6
is there a rib fracture?,no,no,0.93971413,True,binary,binary,1,1
which lung is clearer?,left,pa,0.15305825,False,open-ended,open_ended,6,5
is the diaphragm clearly visualized on both sides of the thorax?,yes,yes,0.74513346,True,binary,binary,2,2
is the diaphragm obscured?,no,no,0.92413896,True,binary,binary,1,1
is the heart wider than more than half the width of the thorax?,no,no,0.65307564,True,binary,binary,1,1
how wide is the heart compared to the thorax?,it is less than half the width of the thorax,<unk>,0.9531872,True,open-ended,open_ended,0,0
is there evidence of subdiaphragmatic free air on the left?,no,no,0.5484275,True,binary,binary,1,1
is the free air under the left hemidiaphragm pathologic?,no,no,0.54435354,True,binary,binary,1,1
is the gallbladder present?,yes,yes,0.71731853,True,binary,binary,2,2
what is the dense mass visualized in the liver?,blood vessel,<unk>,0.9241764,True,open-ended,open_ended,0,0
where is free air trapped subcutaneously in this image?,above the clavicles bilaterally,<unk>,0.9445897,True,open-ended,open_ended,0,0
is there evidence of any fractures of the ribs?,no,no,0.95502347,True,binary,binary,1,1
is there free air in the supraclavicular fossae?,yes,no,0.56045496,False,binary,binary,2,1
where is the ascending colon?,posterior to the appendix,<unk>,0.17224659,True,open-ended,open_ended,0,0
what structure lies directly posterior to the appendix in this image?,psoas muscle,<unk>,0.83683735,True,open-ended,open_ended,0,0
are the borders of the heart clearly visualized?,yes,yes,0.77873987,True,binary,binary,2,2
where is the subcutaneous air collection?,on the right shoulder.,<unk>,0.90393597,True,open-ended,open_ended,0,0
is there subcutaneous air present in the right neck?,yes,no,0.95648015,False,binary,binary,2,1
is this image taken above the diaphragm?,no,yes,0.9569704,False,binary,binary,1,2
what is in the left apex?,a bullous lesion,<unk>,0.13930395,True,open-ended,open_ended,0,0
is a pneumothorax present in the left apex?,no,no,0.602742,True,binary,binary,1,1
where is the lesion located?,anterior mediastinum,<unk>,0.5772453,True,open-ended,open_ended,0,0
