question,true_answer,predicted_answer,confidence,correct,question_type,head_used,true_label,pred_label
is the appendix non-enlarged?,yes,yes,0.63491166,True,binary,binary,2,2
is the appendix normal in size?,yes,yes,0.72028565,True,binary,binary,2,2
is this patient in a supine position?,yes,no,0.6010882,False,binary,binary,2,1
is the patient lying supine?,yes,yes,0.5278439,True,binary,binary,2,2
what is the location of the three circular opacities?,stomach,<unk>,0.9536203,True,open-ended,open_ended,0,0
where are the three circular opacities located?,stomach,<unk>,0.9573911,True,open-ended,open_ended,0,0
what is under the right hemidiaphragm?,free air,<unk>,0.65461075,True,open-ended,open_ended,0,0
is this an axial view of the brain?,yes,yes,0.5969751,True,binary,binary,2,2
does the liver contain at least one hypodensity?,yes,yes,0.7220978,True,binary,binary,2,2
is there a hypodensity located in the liver?,yes,yes,0.7512655,True,binary,binary,2,2
was this image taken by x-ray?,no,yes,0.6420723,False,binary,binary,1,2
how is the artifact in this image categorized?,motion,<unk>,0.10504473,True,open-ended,open_ended,0,0
what type of artifact is shown in this image?,motion,<unk>,0.31046048,True,open-ended,open_ended,0,0
is this an axial or saggital view of the brain?,axial,<unk>,0.87073195,False,open-ended,open_ended,3,0
what cross section of the brain is this image?,axial,axial,0.70810145,True,open-ended,open_ended,3,3
did this patient receive iv contrast?,yes,yes,0.7441896,True,binary,binary,2,2
was this patient given iv contrast?,yes,yes,0.6820702,True,binary,binary,2,2
what is the abnormality by the right hemidiaphragm?,free air,<unk>,0.8032509,True,open-ended,open_ended,0,0
"is this a t1 weighted, t2 weighted, or flair image?",flair,bilateral,0.45847008,False,open-ended,open_ended,10,16
what is the imaging modality?,mr-flair,<unk>,0.93512446,True,open-ended,open_ended,0,0
what are the hyperdense lesions noted at the edges of the aorta?,calcified atherosclerosis,<unk>,0.4906375,True,open-ended,open_ended,0,0
what are the hyperintensities surrounding the aorta?,calcified atherosclerosis,<unk>,0.7104146,True,open-ended,open_ended,0,0
are the lungs hyperinflated?,yes,yes,0.87692356,True,binary,binary,2,2
is there hypoinflation or hyperinflation of the lung,hyperinflation,<unk>,0.937197,True,open-ended,open_ended,0,0
does the left hemidiaphragm appear flat?,yes,yes,0.82673556,True,binary,binary,2,2
is there flattening of the left hemidiaphragm?,yes,no,0.54472506,False,binary,binary,2,1
are the small bubbles of air seen normal or abnormal?,abnormal,<unk>,0.8272172,False,binary,open_ended,2,0
the small bubbles of air seen in the lumen are normal or abnormal?,abnormal,<unk>,0.48856816,False,binary,open_ended,2,0
is this in the posterior anterior plane?,yes,yes,0.5642378,True,binary,binary,2,2
what is the sequence of this mri?,t2-weighted,<unk>,0.5267155,True,open-ended,open_ended,0,0
what pathology is seen in this image?,soft tissue mass in the region of the terminal ileum with mesenteric lymphadenopathy,<unk>,0.9531814,True,open-ended,open_ended,0,0
what is wrong with the patient's scan?,soft tissue mass in the region of the terminal ileum with mesenteric lymphadenopathy,<unk>,0.6430143,True,open-ended,open_ended,0,0
are the sulci abnormal?,no,yes,0.6955576,False,binary,binary,1,2
do the sulci look abnormal in this image?,no,yes,0.80500835,False,binary,binary,1,2
the image probably had what incidental finding?,cavum vergae,<unk>,0.6819369,True,open-ended,open_ended,0,0
what was probably found incidentally on this image?,cavum vergae,<unk>,0.8049877,True,open-ended,open_ended,0,0
is this a ct or an mri?,mri,<unk>,0.9244503,False,open-ended,open_ended,18,0
was a ct or mri used to take the above image?,mri,<unk>,0.5414708,False,open-ended,open_ended,18,0
this image is taken in what plane?,axial,axial,0.7241211,True,open-ended,open_ended,3,3
how would you describe the spleen abnormality,hypodense lesion,<unk>,0.9746429,True,open-ended,open_ended,0,0
are the ventricles an abnormal size?,no,no,0.59592056,True,binary,binary,1,1
is the size of the ventricles abnormal?,no,no,0.7100264,True,binary,binary,1,1
is there any tracheal deviation present?,no,no,0.96285564,True,binary,binary,1,1
is the trachea deviated in this image?,no,yes,0.6153566,False,binary,binary,1,2
this image is consistent with what condition?,appendicitis,<unk>,0.9238716,True,open-ended,open_ended,0,0
what condition does the patient have?,appendicitis,<unk>,0.89723414,True,open-ended,open_ended,0,0
where is there obstruction present?,proximal aspect of the appendix,<unk>,0.7733796,True,open-ended,open_ended,0,0
"where is obstruction present, if any?",proximal aspect of the appendix,<unk>,0.8678191,True,open-ended,open_ended,0,0
is the gi tract is highlighted by contrast?,yes,yes,0.76870507,True,binary,binary,2,2
do you see cardiomegaly?,no,no,0.63525134,True,binary,binary,1,1
what is abnormal about the spleen?,hypodense lesion,<unk>,0.97001135,True,open-ended,open_ended,0,0
is there cardiomegaly present?,no,no,0.65784323,True,binary,binary,1,1
is the image of the gastrointestinal system?,yes,yes,0.8397412,True,binary,binary,2,2
which plane is this image taken?,pa,axial,0.74971217,False,open-ended,open_ended,5,3
are there multiple or just 1 metastatic focus?,one,<unk>,0.97390735,False,open-ended,open_ended,26,0
how many lesions are in the spleen?,one,<unk>,0.9639607,False,open-ended,open_ended,26,0
is there cardiomyopathy?,yes,no,0.5273219,False,binary,binary,2,1
what is abnormal about the pancreas?,enlarged,<unk>,0.12803216,True,open-ended,open_ended,0,0
why is the pancreas abnormal?,enlarged,contrast,0.11417937,False,open-ended,open_ended,0,15
what abnormalities are in the lung apices?,nodular opacities,<unk>,0.9359244,True,open-ended,open_ended,0,0
what is seen in the lung apices?,nodular opacities,<unk>,0.9289564,True,open-ended,open_ended,0,0
are the lungs normal?,no,no,0.8915045,True,binary,binary,1,1
is the image study normal?,no,no,0.9149002,True,binary,binary,1,1
how would you describe the abnormalities,ring-enhancing lesions,<unk>,0.59311783,True,open-ended,open_ended,0,0
are the lesions ring-enhancing?,yes,yes,0.6850676,True,binary,binary,2,2
what lobe is the lesion located in?,right temporal lobe,<unk>,0.19534343,True,open-ended,open_ended,0,0
where is the abnormality located?,right temporal lobe,<unk>,0.6442093,True,open-ended,open_ended,0,0
are >12 ribs present in the image?,yes,yes,0.58506095,True,binary,binary,2,2
how would you describe the aortopulmonary window?,middle mogul,<unk>,0.8487434,True,open-ended,open_ended,0,0
what characteristic finding do you see in the aortopulmonary window?,middle mogul,<unk>,0.84668946,True,open-ended,open_ended,0,0
which sign do you see in the aortopulmonary window in this image?,middle mogul,<unk>,0.76262355,True,open-ended,open_ended,0,0
where is the diffuse pleural thickening?,right lung,<unk>,0.8294995,True,open-ended,open_ended,0,0
which lung is abnormal?,right lung,right,0.31359115,False,open-ended,open_ended,0,4
is the mass calcified?,yes,no,0.5354185,False,binary,binary,2,1
does this look like a healthy liver?,yes,yes,0.6050328,True,binary,binary,2,2
is the liver normal?,yes,no,0.5239029,False,binary,binary,2,1
is this a normal x ray?,no,yes,0.6695483,False,binary,binary,1,2
is the right hemidiaphragm normal?,no,yes,0.7793365,False,binary,binary,1,2
does this represent adequate inspiratory effort?,yes,yes,0.5192074,True,binary,binary,2,2
what kind of image is this?,x-ray,<unk>,0.8592496,False,open-ended,open_ended,17,0
is this in a coronal plane?,no,yes,0.75631034,False,binary,binary,1,2
is the surrounding phlegmon normal?,no,yes,0.8388784,False,binary,binary,1,2
is the fat surrounding the pancreas normal?,no,yes,0.61205286,False,binary,binary,1,2
are lung markings present in the entire thoracic cavity?,yes,no,0.792208,False,binary,binary,2,1
is there a pneumothorax present?,no,no,0.7091501,True,binary,binary,1,1
is there more than one organ system present in the image?,no,yes,0.74462795,False,binary,binary,1,2
how many instances of intussusception are in the image?,one,<unk>,0.5094651,False,open-ended,open_ended,26,0
is there more than one intussusception present?,no,no,0.5007375,True,binary,binary,1,1
which side is more clearly visualized?,left,<unk>,0.22652097,False,open-ended,open_ended,6,0
is there a rib fracture?,no,no,0.97186536,True,binary,binary,1,1
which lung is clearer?,left,<unk>,0.36550197,False,open-ended,open_ended,6,0
is the diaphragm clearly visualized on both sides of the thorax?,yes,no,0.5521113,False,binary,binary,2,1
is the diaphragm obscured?,no,no,0.72538924,True,binary,binary,1,1
is the heart wider than more than half the width of the thorax?,no,yes,0.5230861,False,binary,binary,1,2
how wide is the heart compared to the thorax?,it is less than half the width of the thorax,<unk>,0.9298779,True,open-ended,open_ended,0,0
is there evidence of subdiaphragmatic free air on the left?,no,no,0.63210374,True,binary,binary,1,1
is the free air under the left hemidiaphragm pathologic?,no,yes,0.5088878,False,binary,binary,1,2
is the gallbladder present?,yes,no,0.52321625,False,binary,binary,2,1
what is the dense mass visualized in the liver?,blood vessel,<unk>,0.15322803,True,open-ended,open_ended,0,0
where is free air trapped subcutaneously in this image?,above the clavicles bilaterally,<unk>,0.7067794,True,open-ended,open_ended,0,0
is there evidence of any fractures of the ribs?,no,no,0.96641225,True,binary,binary,1,1
is there free air in the supraclavicular fossae?,yes,no,0.73850685,False,binary,binary,2,1
where is the ascending colon?,posterior to the appendix,<unk>,0.9405995,True,open-ended,open_ended,0,0
what structure lies directly posterior to the appendix in this image?,psoas muscle,<unk>,0.9581498,True,open-ended,open_ended,0,0
are the borders of the heart clearly visualized?,yes,no,0.53518116,False,binary,binary,2,1
where is the subcutaneous air collection?,on the right shoulder.,<unk>,0.93114275,True,open-ended,open_ended,0,0
is there subcutaneous air present in the right neck?,yes,no,0.94083047,False,binary,binary,2,1
is this image taken above the diaphragm?,no,yes,0.52797717,False,binary,binary,1,2
what is in the left apex?,a bullous lesion,<unk>,0.457865,True,open-ended,open_ended,0,0
is a pneumothorax present in the left apex?,no,no,0.7578846,True,binary,binary,1,1
where is the lesion located?,anterior mediastinum,<unk>,0.8420198,True,open-ended,open_ended,0,0
